SerialN,Name,Ratings,Price,Condition,Date
SerialN,Name,Ratings,Price,Details,Date,img_link,type
11_tv,Micromax 32B8100MHD 81 cm (32 inches) HD Ready LED TV,3.3 out of 5 stars,13940,"{u'Item model number': u'32B8100MHD', u'Display Resolution Maximum': u'1366 x 768 HD', u'Total Usb Ports': u'2', u'Power Source': u'ac', u'Batteries Included': u'No', u'Batteries Required': u'No', u'Brand': u'Micromax', u'Material': u'Fabric', u'Refresh Rate': u'10|MHz', u'Item Weight': u'8 Kg', u'Display Technology': u'LED', u'Model': u'32B8100MHD', u'Additional Features': u'MHL - Mobile High Definiton Link, Bluetooth, Sleep Timer, Vivid Motion 60 HZ, HD. HDMI 2 and USB 2.0 High Speed 2, Ultra Low Power Consumption', u'Screen Size': u'32 Inches', u'Product Dimensions': u'85.4 x 50.6 x 18.4 cm', u'Included Components': u'1 Unit ( User Manual, Remote Control, Batteries - 1 Pair)'}",2016-04-14,http://ecx.images-amazon.com/images/I/41Py3mjeQyL._SX300_QL70_.jpg,tv
12_tv,Noble SKIODO 32SM32N01 81cm (32 inches) HD Ready Smart LED TV (Black),4.3 out of 5 stars,15536,"{u'Item model number': u'32SM32N01', u'Display Resolution Maximum': u'1366x768p', u'Supported Audio Format': u'mp3_audio', u'Power Source': u'AC', u'Image Contrast Ratio': u'200000:1', u'Speaker Surround Sound Channel Configuration': u'YES', u'Batteries Required': u'No', u'Screen Size': u'32 Inches', u'Brand': u'Noble Skiodo', u'Supported Image Type': u'JPEG', u'Item Weight': u'4.8 Kg', u'Total Usb Ports': u'3', u'Model Name': u'I-Smart', u'Batteries Included': u'No', u'Response Time': u'8 Milliseconds', u'Model': u'32SM32N01', u'Display Technology': u'LED', u'Resolution': u'1366 x 768', u'Product Dimensions': u'73 x 8 x 43.5 cm', u'Included Components': u'Remote Control,Motion Sensor Remote+Keyboard, batteries, warranty card, manual, Wallmount'}",2016-04-14,http://ecx.images-amazon.com/images/I/4134EOFEbtL._SX300_QL70_.jpg,tv
13_tv,Sony BRAVIA KLV-22P422C 55 cm (22 inches) Full HD LED TV,4.8 out of 5 stars,13280,"{u'Item model number': u'KLV-22P422C', u'Display Resolution Maximum': u'1080p', u'Image Aspect Ratio': u'16:09', u'Total Usb Ports': u'1', u'Batteries Included': u'No', u'Batteries Required': u'No', u'Brand': u'Sony', u'Item Weight': u'3.6 Kg', u'Model Name': u'Bravia', u'Model': u'KLV-22P422C', u'Display Technology': u'LED', u'Screen Size': u'22 Inches', u'Product Dimensions': u'50.9 x 6.5 x 31.4 cm'}",2016-04-14,http://ecx.images-amazon.com/images/I/51HMPYdFbEL._SY300_QL70_.jpg,tv
14_tv,Samsung EB40D 101.6 cm (40-Inches) HD Ready LED TV with IPS Panel,3.6 out of 5 stars,33639,"{u'Item model number': u'EB40D', u'Display Resolution Maximum': u'720p', u'Batteries Included': u'No', u'Batteries Required': u'No', u'Screen Size': u'40 Inches', u'Brand': u'Samsung', u'Viewing Angle': u'178 Degrees', u'Aspect Ratio': u'16:9', u'Item Weight': u'7 Kg', u'Response Time': u'8 Milliseconds', u'Model': u'EB40D', u'Display Technology': u'LED', u'Resolution': u'1366 x 768', u'Product Dimensions': u'91.4 x 9.1 x 54.7 cm', u'Included Components': u'Stand, Quick Setup Guide, Warranty Card, Power Cord, Remote Controller, Batteries'}",2016-04-14,http://ecx.images-amazon.com/images/I/51R7%2ByL8UUL._SX300_QL70_.jpg,tv
15_tv,Samsung FH4003 80 cm (32 inches) HD Ready LED TV (Black),3.9 out of 5 stars,21490,"{u'Item model number': u'UA32FH4003R', u'Display Resolution Maximum': u'720p', u'Batteries Included': u'No', u'Batteries Required': u'No', u'Screen Size': u'32 Inches', u'Brand': u'Samsung', u'Item Weight': u'7 Kg', u'Wattage': u'25 Watts', u'Model': u'UA32FH4003R', u'Display Technology': u'LED', u'Resolution': u'1366 x 768', u'Product Dimensions': u'9.3 x 73.8 x 44.2 cm', u'Included Components': u'Remote Controller, Batteries (for Remote Control), Mini Wall Mount Supported, Vesa Wall Mount Supported, User Manual and Power Cable'}",2016-04-14,http://ecx.images-amazon.com/images/I/51yk5fapBuL._SX300_QL70_.jpg,tv
16_tv,Micromax 24B600HDI 60 cm (24 inches) HD Ready LED TV,4 out of 5 stars,9989,"{u'Item model number': u'24B600HDI', u'Display Resolution Maximum': u'720p', u'Batteries Included': u'No', u'Batteries Required': u'No', u'Screen Size': u'24 Inches', u'Brand': u'Micromax', u'Material': u'Fabric', u'Viewing Angle': u'176 Degrees', u'Refresh Rate': u'60Hz', u'Item Weight': u'4.1 Kg', u'Display Technology': u'LED', u'Model Name': u'24B600HDI', u'Model': u'24B600HDI', u'Additional Features': u'IPS PANEL, FHD', u'Resolution': u'1366*786', u'Product Dimensions': u'64.5 x 49 x 14.2 cm', u'Included Components': u'Main Unit, User Manual,'}",2016-04-14,http://ecx.images-amazon.com/images/I/51FViLz5FrL._SX300_QL70_.jpg,tv
17_tv,Noble Skiodo 50SM48P01 122 cm (48inches) Full HD Smart LED TV with wifi and motion sensor and keyboard remote,4.7 out of 5 stars,31225,"{u'Item model number': u'50SM48P01', u'Display Resolution Maximum': u'1920X1080P', u'Display Type': u'LED', u'Supported Audio Format': u'mp3_audio', u'Power Source': u'AC', u'Image Contrast Ratio': u'200000:1', u'Speaker Surround Sound Channel Configuration': u'YES', u'Screen Size': u'48 Inches', u'Brand': u'Noble Skiodo', u'Supported Image Type': u'JPEG', u'Item Weight': u'16 Kg', u'Total Usb Ports': u'3', u'Model Name': u'I-Smart', u'Response Time': u'8 Milliseconds', u'Model': u'50SM48P01', u'Display Technology': u'LED', u'Resolution': u'1920*1082', u'Product Dimensions': u'108.5 x 7 x 63 cm', u'Included Components': u'Remote Control,Motion Sensor Remote+Keyboard, batteries, warranty card, manual, Wallmount'}",2016-04-14,http://ecx.images-amazon.com/images/I/41tS0be6AmL._SX300_QL70_.jpg,tv
18_tv,LG 43LF540A 108 cm (43-Inches) Full HD LED TV,4.1 out of 5 stars,37990,"{u'Item model number': u'43LF540A', u'Display Resolution Maximum': u'1080p', u'Batteries Included': u'No', u'Batteries Required': u'No', u'Screen Size': u'43 Inches', u'Brand': u'LG', u'Item Weight': u'14 Kg', u'Model Name': u'43LF540A', u'Model': u'43LF540A', u'Display Technology': u'LED', u'Resolution': u'1920*1080', u'Product Dimensions': u'15 x 104 x 64 cm'}",2016-04-14,http://ecx.images-amazon.com/images/I/51vRQuXpAOL._SX300_QL70_.jpg,tv
19_tv,Philips 40PFL5059/V7 101.6 cm (40 inches) Full HD LED Television,3.9 out of 5 stars,28157,"{u'Item model number': u'40PFL5059/V7', u'Display Resolution Maximum': u'1080p', u'Total Usb Ports': u'1', u'Number Of Items': u'3', u'Audio Wattage': u'16 Watts', u'Speaker Surround Sound Channel Configuration': u'2', u'Batteries Required': u'No', u'Screen Size': u'40 Inches', u'Brand': u'Philips', u'Batteries Included': u'Yes', u'Aspect Ratio': u'16:9', u'Item Weight': u'7 Kg', u'Wattage': u'70 Watts', u'Audio Output Mode': u'Speaker', u'Model': u'40PFL5059/V7', u'Additional Features': u'Screen size: 101.6 cm (40), Display: Full HD, Screen Resolution: 1920 x 1080, Video Playback Formats:ASF, AVI, MKV, MP4, PS, MOV, MPG, MPEG, WMV, H.264, MPEG 1, MPEG 2, MPEG 4, VC-1', u'Model Year': u'2014', u'Product Dimensions': u'90.3 x 6.9 x 52.8 cm', u'Included Components': u'8'}",2016-04-14,http://ecx.images-amazon.com/images/I/41LzIMBxgSL._SX300_QL70_.jpg,tv
20_tv,Micromax 50C5220MHD 127cm (50 inches) Full HD LED TV (Black) with MHL and Bluetooth connectivity,3.6 out of 5 stars,32989,"{u'Item model number': u'50C5220MHD', u'Image Aspect Ratio': u'16:09', u'Total Usb Ports': u'2', u'Audio Wattage': u'16 Watts', u'Image Contrast Ratio': u'2000:1', u'Batteries Included': u'No', u'Batteries Required': u'No', u'Screen Size': u'50 Inches', u'Brand': u'Micromax', u'Supported Image Type': u'JPEG', u'Refresh Rate': u'60', u'Item Weight': u'12 Kg', u'Digital Media Format': u'DVD-Video', u'Response Time': u'6.5 Milliseconds', u'Model': u'50C5220MHD', u'Display Technology': u'LED', u'Resolution': u'1920 x 1080', u'Product Dimensions': u'112.5 x 9 x 65.2 cm', u'Power Source': u'AC'}",2016-04-14,http://ecx.images-amazon.com/images/I/41FPsd0AM5L._SX300_QL70_.jpg,tv
21_tv,Micromax 20B22HD-A 50cm (20 inches) HD Ready LED TV (Black),4.8 out of 5 stars,8290,"{u'Item model number': u'20B22HD-A', u'Display Resolution Maximum': u'720p', u'Image Aspect Ratio': u'16:9', u'Total Usb Ports': u'1', u'Image Contrast Ratio': u'3000000:1', u'Batteries Included': u'No', u'Batteries Required': u'No', u'Screen Size': u'20 Inches', u'Brand': u'Micromax', u'Refresh Rate': u'60 hertz', u'Item Weight': u'4.3 Kg', u'Wattage': u'30 Watts', u'Response Time': u'6 Milliseconds', u'Model': u'20B22HD-A', u'Display Technology': u'LED', u'Resolution': u'1366 x 768', u'Product Dimensions': u'50.8 x 2.5 x 33 cm', u'Included Components': u'TV, Remote Control, Remote Batteries, Vesa Wall Mount Support, Quick Installation Guide and User Manual'}",2016-04-14,http://ecx.images-amazon.com/images/I/41rNDVvH5AL._SY300_QL70_.jpg,tv
