SerialN,Name,Ratings,Price,Condition,Date
SerialN,Name,Ratings,Price,Details,Date,img_link,type
11_laptop,"Lenovo G50-80 80E5039EIH 15.6-inch Laptop (Core i3-5005U/4GB/1TB/DOS/Integrated Graphics), Black",4 out of 5 stars,27800,"{u'Item model number': u'80E5039EIH', u'Item Width': u'25 Millimeters', u'Memory Technology': u'DDR3L', u'Average Battery Life (in hours)': u'4', u'Hard Disk Technology': u'Serial ATA', u'RAM Size': u'4 GB', u'Processor Brand': u'Intel', u'Operating System': u'DOS', u'Product Dimensions': u'38.4 x 2.5 x 26.5 cm', u'Card Reader': u'Secure Digital card', u'Maximum Memory Supported': u'16 GB', u'Screen Size': u'15.6 Inches', u'Graphics Coprocessor': u'Intel Integrated Graphics', u'Connectivity Type': u'Wi-Fi, Bluetooth-V4', u'Included Components': u'Laptop', u'Hardware Platform': u'PC', u'Optical Drive Type': u'DVD-RW', u'Number of USB 2.0 Ports': u'2', u'Colour': u'Black', u'Item Weight': u'2.5 Kg', u'Processor Speed': u'2 GHz', u'Item Height': u'26.5 Centimeters', u'Series': u'G50-80', u'Number of USB 3.0 Ports': u'1', u'Maximum Display Resolution': u'1366x768', u'Hard Drive Size': u'1 TB', u'Processor Type': u'Core i3-5005U', u'Brand': u'Lenovo'}",2016-04-14,http://ecx.images-amazon.com/images/I/31R2-MX7xBL._SY300_QL70_.jpg,laptop
12_laptop,"Dell 3541 15.6-inch Laptop (A-Series-Quad-Core A6/4GB/500GB HDD/AMD with Radeon), Black",3.9 out of 5 stars,18999,"{u'Item model number': u'Dell 3541', u'Notebook Display Technology': u'LED Backlit Display with HD', u'Screen Resolution': u'1366*768', u'Item Width': u'34 Centimeters', u'Memory Technology': u'DDR3L', u'Average Battery Life (in hours)': u'4', u'Hard Disk Technology': u'Mechanical Hard Drive', u'RAM Size': u'4 GB', u'Processor Brand': u'AMD', u'Wireless Type': u'802.11bgn', u'Operating System': u'Linux', u'Number of Lithium Ion Cells': u'4', u'Brand': u'Dell', u'Screen Size': u'15.6 Inches', u'Graphics Coprocessor': u'ATI Radeon', u'Included Components': u'Laptop, Charger, Battery and User Manuals', u'Hardware Platform': u'PC', u'Optical Drive Type': u'DVD/CD', u'Number of USB 2.0 Ports': u'2', u'Colour': u'Black', u'Item Weight': u'2.4 Kg', u'Graphics Card Description': u'ATI Radeon Graphics', u'Processor Speed': u'1.8 GHz', u'Item Height': u'39 Millimeters', u'Speaker Description': u'Built-In Speaker', u'Number of USB 3.0 Ports': u'1', u'Hard Drive Size': u'500 GB', u'Processor Type': u'Core i3', u'Product Dimensions': u'48 x 34 x 3.9 cm'}",2016-04-14,http://ecx.images-amazon.com/images/I/418eyRSFO5L._SX300_QL70_.jpg,laptop
13_laptop,"HP 15-AC169TU 15.6-inch Laptop (Pentium 3825U/4GB/1TB/FreeDOS/Integrated Graphics), Jack Black",3.9 out of 5 stars,21199,"{u'Item model number': u'15-AC169TU', u'Item Width': u'38.4 Centimeters', u'Memory Technology': u'DDR3', u'Average Battery Life (in hours)': u'5', u'Hard Disk Technology': u'Mechanical Hard Drive', u'RAM Size': u'4 GB', u'Processor Brand': u'Intel', u'Wireless Type': u'802.11bgn', u'Operating System': u'FreeDOS', u'Number of HDMI Ports': u'1', u'Product Dimensions': u'25.5 x 38.4 x 2.4 cm', u'Card Reader': u'Secure Digital card', u'Screen Size': u'15.6 Inches', u'Graphics Coprocessor': u'Intel Integrated Graphics', u'Included Components': u'Laptop', u'Number of USB 2.0 Ports': u'2', u'Colour': u'Jack Black', u'Item Weight': u'2.2 Kg', u'Audio Details': u'Dual Speakers', u'Processor Speed': u'1.9 GHz', u'Number of Audio-out Ports': u'2', u'Item Height': u'24 Millimeters', u'Speaker Description': u'DTS Studio Sound', u'Number of USB 3.0 Ports': u'1', u'Maximum Display Resolution': u'1366x768', u'Hard Drive Size': u'1 TB', u'Number of Microphone Ports': u'2', u'Processor Type': u'Pentium', u'Brand': u'HP'}",2016-04-14,http://ecx.images-amazon.com/images/I/319TpF4fvcL._SX300_QL70_.jpg,laptop
14_laptop,Dell vostro 15 3558 15.6-inch Laptop (Core i3/4GB/1TB HDD/15.6 LED Screen/ UBUNTU) BLACK,3.9 out of 5 stars,25590,"{u'Item model number': u'3558', u'Notebook Display Technology': u'LED', u'Screen Resolution': u'1366X768', u'Average Battery Life (in hours)': u'4', u'Hard Disk Technology': u'Mechanical Hard Drive', u'RAM Size': u'4 GB', u'Processor Brand': u'Intel', u'Wireless Type': u'802.11bgn, Bluetooth', u'Operating System': u'UBUNTU', u'Brand': u'Dell', u'Screen Size': u'15.60 Inches', u'Graphics Coprocessor': u'Intel Integrated Graphics', u'Hardware Platform': u'PC', u'Optical Drive Type': u'DVD/CD', u'Colour': u'BLACK', u'Item Weight': u'3.5 Kg', u'Graphics Card Description': u'Intel\xae HD Graphics 4400', u'Processor Speed': u'1.70 GHz', u'Maximum Display Resolution': u'1366X768', u'Hard Drive Size': u'1 TB', u'Processor Type': u'Core i3', u'Product Dimensions': u'49 x 35.2 x 7 cm'}",2016-04-14,http://ecx.images-amazon.com/images/I/513wTs-Zg%2BL._SY300_QL70_.jpg,laptop
15_laptop,"HP 15-ac184TU 15.6-inch Laptop (Core i3 5005U/4GB/1TB/DOS/Intel HD 5500 Graphics), Jack Black",3.3 out of 5 stars,30422,"{u'Item model number': u'15-ac184TU', u'Item Width': u'25.7 Centimeters', u'Memory Technology': u'DDR3L', u'Average Battery Life (in hours)': u'5', u'Hard Disk Technology': u'Mechanical Hard Drive', u'RAM Size': u'4 GB', u'Processor Brand': u'Intel', u'Wireless Type': u'802.11bgn', u'Operating System': u'DOS', u'Number of HDMI Ports': u'1', u'Product Dimensions': u'38.4 x 25.7 x 2.4 cm', u'Card Reader': u'Secure Digital card', u'Screen Size': u'15.6 Inches', u'Graphics Coprocessor': u'Intel Integrated Graphics', u'Number of USB 2.0 Ports': u'2', u'Colour': u'Jack Black', u'Item Weight': u'2.2 Kg', u'Audio Details': u'Speaker', u'Processor Speed': u'2 GHz', u'Number of Ethernet Ports': u'1', u'Number of Audio-out Ports': u'1', u'Item Height': u'24 Millimeters', u'Speaker Description': u'DTS Studio Sound', u'Number of USB 3.0 Ports': u'1', u'Maximum Display Resolution': u'1366x768', u'Hard Drive Size': u'1 TB', u'Number of Microphone Ports': u'1', u'Processor Type': u'Core i3', u'Brand': u'HP'}",2016-04-14,http://ecx.images-amazon.com/images/I/51r8eCku8VL._SX300_QL70_.jpg,laptop
16_laptop,"Acer One 10 S1002-15XR 10.1-inch Laptop (Atom Z3735F/2GB/32GB/Windows 10/Intel HD Graphics), Dark Silver",4.2 out of 5 stars,14999,"{u'Item model number': u'S1002-15XR', u'Item Width': u'25.8 Centimeters', u'Memory Technology': u'DDR3', u'Average Battery Life (in hours)': u'4', u'Hard Disk Technology': u'Mechanical Hard Drive', u'RAM Size': u'2 GB', u'Processor Brand': u'Intel', u'Wireless Type': u'802.11bgn', u'Operating System': u'Windows 10', u'Number of Lithium Ion Cells': u'2', u'Product Dimensions': u'19.4 x 25.8 x 2.6 cm', u'Screen Size': u'10.1 Inches', u'Graphics Coprocessor': u'Intel Integrated Graphics', u'Included Components': u'Laptop', u'Hardware Platform': u'PC', u'Colour': u'Dark Silver', u'Item Weight': u'1.2 Kg', u'Processor Speed': u'1.33 GHz', u'Item Height': u'26 Millimeters', u'Series': u'One 10', u'Hard Drive Size': u'32 GB', u'Number of Microphone Ports': u'1', u'Processor Type': u'Atom', u'Brand': u'Acer'}",2016-04-14,http://ecx.images-amazon.com/images/I/51PgRJSmS5L._SY300_QL70_.jpg,laptop
17_laptop,HP 15-AF143AU 15.6-inch Laptop (AMD E1-6015/4GB/500GB/DOS),4.1 out of 5 stars,17999,"{u'Item model number': u'AF143AU', u'Hardware Platform': u'PC', u'Colour': u'SILVER', u'Power Source': u'ac', u'Brand': u'HP', u'Processor Speed': u'1.40 GHz', u'Graphics Coprocessor': u'Intel Integrated Graphics', u'Item Weight': u'3 Kg', u'Hard Drive Size': u'500 GB', u'Operating System': u'DOS', u'Processor Type': u'Core i3', u'RAM Size': u'4 GB', u'Screen Size': u'15.60 Inches', u'Product Dimensions': u'50.6 x 30 x 7.4 cm'}",2016-04-14,http://ecx.images-amazon.com/images/I/41q1IO8-moL._SX300_QL70_.jpg,laptop
18_laptop,"HP 15-ac119TU 15.6-inch Laptop (Core_i3_5005u/4GB/1TB/Intel HD Graphics 5500), White Silver",4.1 out of 5 stars,31499,"{u'Item model number': u'15-ac119TU', u'Item Width': u'15.1 Centimeters', u'Memory Technology': u'DDR3L', u'Average Battery Life (in hours)': u'5', u'Hard Disk Technology': u'Mechanical Hard Drive', u'Processor Count': u'2', u'RAM Size': u'4 GB', u'Processor Brand': u'Intel', u'Wireless Type': u'802.11bgn', u'Operating System': u'Windows 10', u'Number of HDMI Ports': u'1', u'Product Dimensions': u'10 x 15.1 x 1 cm', u'Card Reader': u'Secure Digital card', u'Maximum Memory Supported': u'8 GB', u'Screen Size': u'15.6 Inches', u'Graphics Coprocessor': u'Intel Integrated Graphics', u'Connectivity Type': u'Wi-Fi, Bluetooth-V4', u'Optical Drive Type': u'DVD-RW', u'Number of USB 2.0 Ports': u'2', u'Colour': u'White Silver', u'Item Weight': u'2.2 Kg', u'Audio Details': u'Speaker', u'Processor Speed': u'2 GHz', u'Number of Ethernet Ports': u'1', u'Number of Audio-out Ports': u'1', u'Item Height': u'10 Millimeters', u'Speaker Description': u'DTS Studio Sound, Dual Speakers', u'Number of USB 3.0 Ports': u'1', u'Maximum Display Resolution': u'1366x768', u'Hard Drive Size': u'1 TB', u'Processor Type': u'Core i3', u'Brand': u'HP'}",2016-04-14,http://ecx.images-amazon.com/images/I/51rlndAobBL._SX300_QL70_.jpg,laptop
19_laptop,"HP 15-ac101TU 15.6-inch Laptop (Core i3 5005U/4GB/1TB/Windows 10/Intel HD Graphics 5500), Turbo Silver",3.8 out of 5 stars,32435,"{u'Item model number': u'15-ac101TU', u'Item Width': u'24 Millimeters', u'Memory Technology': u'DDR3', u'Average Battery Life (in hours)': u'5', u'Hard Disk Technology': u'Mechanical Hard Drive', u'Processor Count': u'2', u'RAM Size': u'4 GB', u'Processor Brand': u'Intel', u'Wireless Type': u'802.11bgn', u'Operating System': u'Windows 10', u'Number of HDMI Ports': u'1', u'Product Dimensions': u'38.4 x 2.4 x 25.5 cm', u'Screen Size': u'15.6 Inches', u'Graphics Coprocessor': u'Intel Integrated Graphics', u'Number of USB 2.0 Ports': u'2', u'Colour': u'Silver', u'Item Weight': u'3 Kg', u'Audio Details': u'Speaker', u'Processor Speed': u'2 GHz', u'Item Height': u'25.5 Centimeters', u'Speaker Description': u'Dual speakers', u'Number of USB 3.0 Ports': u'1', u'Maximum Display Resolution': u'1366x768', u'Hard Drive Size': u'1 TB', u'Processor Type': u'Core i3', u'Brand': u'HP'}",2016-04-14,http://ecx.images-amazon.com/images/I/51cVmjRRiTL._SX300_QL70_.jpg,laptop
20_laptop,"Dell Vostro 15 3558 15.6-inch Laptop (Celeron Dual Core - 5th Gen /4GB/500GB/DOS) , Black",3.7 out of 5 stars,21990,"{u'Item model number': u'Vostro 3558', u'Notebook Display Technology': u'LED', u'Screen Resolution': u'1366X786', u'Average Battery Life (in hours)': u'4', u'Hard Disk Technology': u'Mechanical Hard Drive', u'RAM Size': u'4 GB', u'Processor Brand': u'Intel', u'Wireless Type': u'Bluetooth, 802.11bgn', u'Operating System': u'DOS', u'Brand': u'Dell', u'Screen Size': u'15.60 Inches', u'Graphics Coprocessor': u'Intel Integrated Graphics', u'Hardware Platform': u'PC', u'Optical Drive Type': u'DVD/CD', u'Colour': u'BLACK', u'Item Weight': u'3.4 Kg', u'Graphics Card Description': u'Intel\xae HD Graphics 5500', u'Processor Speed': u'1.50 GHz', u'Maximum Display Resolution': u'1366X786', u'Hard Drive Size': u'500 GB', u'Processor Type': u'Celeron', u'Product Dimensions': u'49 x 35.1 x 7.4 cm'}",2016-04-14,http://ecx.images-amazon.com/images/I/41cKD3wXq-L._SY300_QL70_.jpg,laptop
