SerialN,Name,Ratings,Price,Condition,Date
SerialN,Name,Ratings,Price,Condition,Date
8_laptop,MICRO WORLD ONLINE,Not Available,"Rs. 27,999.00",New,2016-04-15
8_laptop,Not Available,Not Available,"Rs. 27,999.00",New,2016-04-15
8_laptop,Krishna Info,2 out of 5 stars,"Rs. 27,890.00",New,2016-04-15
9_laptop,SAMPATTI COMPUTERS,4 out of 5 stars,"Rs. 19,990.00",New,2016-04-15
9_laptop,Not Available,4.5 out of 5 stars,"Rs. 21,090.00",New,2016-04-15
9_laptop,PC POINT Chennai,Not Available,"Rs. 21,000.00",New,2016-04-15
9_laptop,BYTE KNIGHT COMPUTERS,Not Available,"Rs. 21,090.00",New,2016-04-15
9_laptop,INDIA TELE SYSTEMS,Not Available,"Rs. 21,090.00",New,2016-04-15
10_laptop,Not Available,4.5 out of 5 stars,"Rs. 57,499.00",New,2016-04-15
10_laptop,Not Available,4.5 out of 5 stars,"Rs. 57,499.00",New,2016-04-15
10_laptop,Victorious Techno,4.5 out of 5 stars,"Rs. 57,499.00",New,2016-04-15
10_laptop,Krishna infotech,5 out of 5 stars,"Rs. 62,990.00",New,2016-04-15
10_laptop,Not Available,4.5 out of 5 stars,"Rs. 64,663.00",New,2016-04-15
10_laptop,Not Available,4 out of 5 stars,"Rs. 66,300.00",New,2016-04-15
10_laptop,Technoinc2013,5 out of 5 stars,"Rs. 66,320.00",New,2016-04-15
10_laptop,Not Available,5 out of 5 stars,"Rs. 67,999.00",New,2016-04-15
10_laptop,APPLE TERMINAL,5 out of 5 stars,"Rs. 69,500.00",New,2016-04-15
10_laptop,IT SALES,4.5 out of 5 stars,"Rs. 69,900.00",New,2016-04-15
11_laptop,Galaxy meerut,Not Available,"Rs. 27,000.00",New,2016-04-15
11_laptop,MAXXTECH,3 out of 5 stars,"Rs. 27,990.00",New,2016-04-15
11_laptop,Not Available,4.5 out of 5 stars,"Rs. 28,000.00",New,2016-04-15
11_laptop,vibes infosystems,Not Available,"Rs. 28,000.00",New,2016-04-15
11_laptop,ONLINE SS,3 out of 5 stars,"Rs. 28,250.00",New,2016-04-15
11_laptop,globe tro,Not Available,"Rs. 28,300.00",New,2016-04-15
11_laptop,Not Available,4.5 out of 5 stars,"Rs. 28,500.00",New,2016-04-15
11_laptop,vegas it solutions,Not Available,"Rs. 29,000.00",New,2016-04-15
11_laptop,ITC poy,Not Available,"Rs. 29,000.00",New,2016-04-15
11_laptop,Laxmi Marketing & Computer,Not Available,"Rs. 29,500.00",New,2016-04-15
12_laptop,Not Available,4.5 out of 5 stars,"Rs. 18,999.00",New,2016-04-15
12_laptop,selling24x7,4.5 out of 5 stars,"Rs. 19,849.00",New,2016-04-15
12_laptop,Seller No. 1,4 out of 5 stars,"Rs. 20,090.00",New,2016-04-15
12_laptop,NEEL ENTERPRISES,3.5 out of 5 stars,"Rs. 20,235.00",New,2016-04-15
12_laptop,ATM RETAIL,4.5 out of 5 stars,"Rs. 20,444.00",New,2016-04-15
12_laptop,Not Available,4.5 out of 5 stars,"Rs. 20,444.00",New,2016-04-15
12_laptop,BPG-Online,3.5 out of 5 stars,"Rs. 20,950.00",New,2016-04-15
12_laptop,Not Available,4.5 out of 5 stars,"Rs. 21,393.00",New,2016-04-15
12_laptop,Not Available,4.5 out of 5 stars,"Rs. 23,000.00",New,2016-04-15
12_laptop,PREM SONS,Not Available,"Rs. 24,000.00",New,2016-04-15
13_laptop,Not Available,4.5 out of 5 stars,"Rs. 21,199.00",New,2016-04-15
13_laptop,Sunil Enterprise,4 out of 5 stars,"Rs. 21,199.00",New,2016-04-15
13_laptop,Midday Solutions,4 out of 5 stars,"Rs. 21,199.00",New,2016-04-15
13_laptop,LAPTOP DEAL,4.5 out of 5 stars,"Rs. 21,199.00",New,2016-04-15
13_laptop,Not Available,4.5 out of 5 stars,"Rs. 21,199.00",New,2016-04-15
13_laptop,deccanhubb,3 out of 5 stars,"Rs. 22,290.00",New,2016-04-15
13_laptop,GRAYFINE CENTRE,Not Available,"Rs. 25,500.00",New,2016-04-15
13_laptop,INDIA TELE SYSTEMS,Not Available,"Rs. 25,595.00",New,2016-04-15
13_laptop,MyHostDost Solutions,Not Available,"Rs. 35,000.00",New,2016-04-15
13_laptop,Gautam Deal,Not Available,"Rs. 21,999.00",New,2016-04-15
14_laptop,DealsDray,4 out of 5 stars,"Rs. 25,190.00",New,2016-04-15
14_laptop,Not Available,4.5 out of 5 stars,"Rs. 25,590.00",New,2016-04-15
14_laptop,Not Available,Not Available,"Rs. 26,500.00",New,2016-04-15
14_laptop,aakash  sharma,Not Available,"Rs. 25,999.00",New,2016-04-15
14_laptop,globe tro,Not Available,"Rs. 26,800.00",New,2016-04-15
14_laptop,DSComputers,Not Available,"Rs. 27,000.00",New,2016-04-15
14_laptop,MRINAL,Not Available,"Rs. 27,500.00",New,2016-04-15
14_laptop,sitechnologies,1 out of 5 stars,"Rs. 27,699.00",New,2016-04-15
14_laptop,hp world stek enterprises,Not Available,"Rs. 27,100.00",New,2016-04-15
14_laptop,LAPTOP DEAL,4.5 out of 5 stars,"Rs. 27,979.00",New,2016-04-15
15_laptop,Silcare,4 out of 5 stars,"Rs. 26,499.00",New,2016-04-15
15_laptop,VC ENTERPRISES,1 out of 5 stars,"Rs. 30,000.00",New,2016-04-15
15_laptop,INDIA TELE SYSTEMS,Not Available,"Rs. 30,422.00",New,2016-04-15
16_laptop,Not Available,4.5 out of 5 stars,"Rs. 14,999.00",New,2016-04-15
16_laptop,Not Available,4.5 out of 5 stars,"Rs. 14,999.00",New,2016-04-15
16_laptop,Not Available,4 out of 5 stars,"Rs. 14,999.00",New,2016-04-15
16_laptop,Not Available,4.5 out of 5 stars,"Rs. 14,999.00",New,2016-04-15
16_laptop,maha laxmi enterprises,Not Available,"Rs. 15,010.00",New,2016-04-15
16_laptop,Digilife Distribution And Marketing Services Ltd,4 out of 5 stars,"Rs. 15,990.00",New,2016-04-15
16_laptop,RANIAL APPLIANCES,Not Available,"Rs. 18,976.00",New,2016-04-15
16_laptop,Akshara Computer,Not Available,"Rs. 20,900.00",New,2016-04-15
16_laptop,RANIAL APPLIANCES,Not Available,"Rs. 20,964.00",New,2016-04-15
16_laptop,Gautam Deal,Not Available,"Rs. 15,999.00",New,2016-04-15
17_laptop,selling24x7,4.5 out of 5 stars,"Rs. 17,999.00",New,2016-04-15
17_laptop,Not Available,4.5 out of 5 stars,"Rs. 17,999.00",New,2016-04-15
17_laptop,MAXXTECH,3 out of 5 stars,"Rs. 19,350.00",New,2016-04-15
17_laptop,Technoline,3 out of 5 stars,"Rs. 19,640.00",New,2016-04-15
17_laptop,Not Available,4.5 out of 5 stars,"Rs. 19,999.00",New,2016-04-15
17_laptop,IT STATION,5 out of 5 stars,"Rs. 20,000.00",New,2016-04-15
17_laptop,Deals Amazing,4 out of 5 stars,"Rs. 20,990.00",New,2016-04-15
17_laptop,Not Available,4.5 out of 5 stars,"Rs. 21,330.00",New,2016-04-15
17_laptop,BAGGA ENTERPRISES,Not Available,"Rs. 24,879.00",New,2016-04-15
18_laptop,Not Available,4.5 out of 5 stars,"Rs. 31,499.00",New,2016-04-15
18_laptop,PC POINT Chennai,Not Available,"Rs. 34,500.00",New,2016-04-15
18_laptop,LAPTOP DEAL,4.5 out of 5 stars,"Rs. 35,600.00",New,2016-04-15
18_laptop,Seller No. 1,4 out of 5 stars,"Rs. 35,990.00",New,2016-04-15
18_laptop,CBC Digital World Kottayam,Not Available,"Rs. 37,500.00",New,2016-04-15
18_laptop,Not Available,4 out of 5 stars,"Rs. 38,418.00",New,2016-04-15
18_laptop,INDIA TELE SYSTEMS,Not Available,"Rs. 38,999.00",New,2016-04-15
18_laptop,GRAYFINE CENTRE,Not Available,"Rs. 39,999.00",New,2016-04-15
19_laptop,Not Available,4.5 out of 5 stars,"Rs. 32,400.00",New,2016-04-15
19_laptop,Seller No. 1,4 out of 5 stars,"Rs. 32,435.00",New,2016-04-15
19_laptop,DealsDray,4 out of 5 stars,"Rs. 32,490.00",New,2016-04-15
19_laptop,Satyam computers,Not Available,"Rs. 33,332.00",New,2016-04-15
19_laptop,NEEL ENTERPRISES,3.5 out of 5 stars,"Rs. 33,990.00",New,2016-04-15
19_laptop,MICRO WORLD ONLINE,Not Available,"Rs. 33,990.00",New,2016-04-15
19_laptop,E-Tech Store,4 out of 5 stars,"Rs. 34,200.00",New,2016-04-15
19_laptop,LIBERAL SYSTEM,Not Available,"Rs. 34,000.00",New,2016-04-15
