SerialN,Name,Ratings,Price,Condition,Date
10_tv,I.GURUJI ENTERPRISES,5 out of 5 stars,"Rs. 13,200.00",New,2016-04-15
10_tv,CIRCUITCITY,,"Rs. 13,700.00",New,2016-04-15
10_tv,A.P.Enterprises,,"Rs. 13,700.00",New,2016-04-15
10_tv,RAJPOOT ELECTRONIC,,"Rs. 13,999.00",New,2016-04-15
10_tv,PATNA VISION,,"Rs. 14,000.00",New,2016-04-15
10_tv,BHARMAL SALES CORPORATION,,"Rs. 14,500.00",New,2016-04-15
11_tv,Apptronics Retail,4.5 out of 5 stars,"Rs. 13,940.00",New,2016-04-15
11_tv,,4.5 out of 5 stars,"Rs. 13,990.00",New,2016-04-15
11_tv,ANNAPURNA ELECTRONICS,,"Rs. 16,990.00",New,2016-04-15
11_tv,Pluto Plus,4.5 out of 5 stars,"Rs. 19,990.00",New,2016-04-15
12_tv,,4.5 out of 5 stars,"Rs. 15,536.00",New,2016-04-15
12_tv,,4.5 out of 5 stars,"Rs. 15,536.00",New,2016-04-15
13_tv,,2.5 out of 5 stars,"Rs. 13,280.00",New,2016-04-15
13_tv,PATNA VISION,,"Rs. 12,999.00",New,2016-04-15
13_tv,ELECTRONIC PEOPLE,4.5 out of 5 stars,"Rs. 13,990.00",New,2016-04-15
13_tv,sri surya teja electronics,,"Rs. 14,990.00",New,2016-04-15
13_tv,I.GURUJI ENTERPRISES,5 out of 5 stars,"Rs. 14,990.00",New,2016-04-15
13_tv,MAX TV AND TELECOM,,"Rs. 15,400.00",New,2016-04-15
13_tv,Super Deals Stores,4.5 out of 5 stars,"Rs. 13,892.00",New,2016-04-15
13_tv,EZY Online,3.5 out of 5 stars,"Rs. 14,896.00",New,2016-04-15
13_tv,,,"Rs. 14,900.00",New,2016-04-15
13_tv,Rajelectronics,3 out of 5 stars,"Rs. 14,980.00",New,2016-04-15
14_tv,sri surya teja electronics,,"Rs. 31,000.00",New,2016-04-15
14_tv,Krishna digital plaza,,"Rs. 31,000.00",New,2016-04-15
14_tv,,4.5 out of 5 stars,"Rs. 33,639.00",New,2016-04-15
14_tv,Xploit Deals,4.5 out of 5 stars,"Rs. 33,650.00",New,2016-04-15
14_tv,,4.5 out of 5 stars,"Rs. 33,650.00",New,2016-04-15
14_tv,DIGITAL SYST,1 out of 5 stars,"Rs. 34,200.00",New,2016-04-15
14_tv,,4.5 out of 5 stars,"Rs. 34,500.00",New,2016-04-15
14_tv,LAPTOPS&GADGETS,5 out of 5 stars,"Rs. 35,000.00",New,2016-04-15
